"id","name","type","address","city","postcode","lat","lon","website","phone","opening_hours","price_tier","avg_rating","suggested_duration","tags","image_url","description_short","description_long","description_last_generated","review_count_at_generation"
1,"British Museum","Museum","Great Russell St","London","WC1B 3DG",51.5194,-0.127,"https://www.britishmuseum.org","+44 20 7323 8299","10:00-17:00",1,4.8,180,"History;Rainy Day;Family","https://plus.unsplash.com/premium_photo-1661925387774-b1ba6b7bb0ad?q=80&w=1161&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","World-famous museum of human history and culture.","World-famous museum of human history and culture.","2026-04-08 08:49:47",0
2,"Tower of London","Castle","St Katharine's & Wapping","London","EC3N 4AB",51.5081,-0.0759,"https://www.hrp.org.uk/tower-of-london","+44 20 3166 6000","09:00-17:30",4,4.7,180,"History;Crown Jewels;Iconic","https://images.unsplash.com/photo-1590506903984-49154c7ce1a0?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Historic castle and home of the Crown Jewels.","Tower of London is a charming castle that offers a cosy escape in London.","2026-04-08 09:23:08",0
3,"V&A Museum","Museum","Cromwell Rd","London","SW7 2RL",51.4966,-0.1722,"https://www.vam.ac.uk","+44 20 7942 2000","10:00-17:45",1,4.8,150,"Art;Design;Fashion","https://plus.unsplash.com/premium_photo-1658506813192-074af2c51d66?q=80&w=1147&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Leading museum of art, design, and performance.","The V&A Museum in London is a truly remarkable destination, widely recognized as the leading museum of art, design, and performance in the country. Spanning centuries and continents, the museum’s extensive collections showcase the very best in creative expression, from intricate ceramics and stunning paintings to groundbreaking fashion and innovative product design. Visitors often find themselves captivated by the sheer breadth and depth of the displays, exploring everything from ancient Egyptian artifacts to contemporary installations. Many guests come back for the atmosphere, appreciating the grand Victorian building and the thoughtfully curated exhibitions that consistently offer fresh perspectives. The V&A provides a rich and immersive experience, encouraging visitors to engage with the history and evolution of aesthetic ideas and their impact on our world.","2026-04-14 14:59:07",0
4,"Natural History Museum","Museum","Cromwell Rd","London","SW7 5BD",51.4967,-0.1764,"https://www.nhm.ac.uk","+44 20 7942 5000","10:00-17:50",1,3.0,180,"Dinosaurs;Science;Kids","https://images.unsplash.com/photo-1661108181859-c7932252796b?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Home to life and earth science specimens.","The Natural History Museum in London is a truly remarkable destination, offering a captivating journey through the wonders of life and earth science. Housing an astonishing collection of specimens, from ancient fossils to intricate insects, the museum provides an immersive experience for all ages. Visitors are particularly drawn to the impressive dinosaur exhibits, which spark the imaginations of children and adults alike, alongside fascinating displays on scientific innovation and the natural world. Many guests come back for the atmosphere, appreciating the grand architecture and the sheer scale of the collections. It’s a place where families spend hours exploring, and where individuals often find themselves returning to delve deeper into the museum’s diverse offerings. The museum successfully blends education and entertainment, making it a memorable experience for anyone interested in science and the history of our planet.","2026-04-14 08:01:53",0
5,"Tate Modern","Gallery","Bankside","London","SE1 9TG",51.5076,-0.0994,"https://www.tate.org.uk/visit/tate-modern","+44 20 7887 8888","10:00-18:00",1,4.5,90,"Art;Modern;Views","https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Tate_Modern_-_Bankside_Power_Station.jpg/960px-Tate_Modern_-_Bankside_Power_Station.jpg","International modern and contemporary art.","The Tate Modern is a must-see destination for anyone interested in art, located on the banks of the River Thames in London. This iconic gallery showcases a vast and diverse collection of international modern and contemporary art, spanning movements from the early 20th century to the present day. Visitors are consistently impressed by the sheer scale of the collection and the opportunity to encounter groundbreaking works by artists like Picasso, Warhol, and Rothko. The building itself, a repurposed power station, adds to the experience, offering dramatic views of the city skyline and the river. Many guests return to the Tate Modern specifically for the atmosphere – a vibrant and engaging space that encourages contemplation and discussion. The gallery’s layout is thoughtfully designed, guiding visitors through a chronological journey of artistic innovation, and the free admission to the permanent collection makes it accessible to all. It’s a place where art and architecture combine to create a truly memorable experience.","2026-04-08 12:48:20",0
6,"London Eye","Attraction","Riverside Building","London","SE1 7PB",51.5033,-0.1195,"https://www.londoneye.com","+44 870 990 8883","11:00-18:00",4,4.5,45,"Views;Iconic;Romantic","https://images.unsplash.com/photo-1545853332-147d5073187e?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Giant observation wheel on the South Bank.","The London Eye is a truly iconic landmark, a giant observation wheel situated on the vibrant South Bank of the River Thames. Rising majestically above the cityscape, it offers unparalleled panoramic views of London’s historic landmarks, modern architecture, and sprawling green spaces. Visitors consistently describe the experience as breathtaking, capturing the scale and beauty of the city in a single, unforgettable moment. Many guests find the London Eye to be a remarkably romantic destination, perfect for sharing special occasions or simply enjoying a memorable experience. The slow, gentle rotation provides ample time to soak in the stunning vistas and create lasting memories. It’s a popular attraction, and visitors often find themselves returning to witness the changing light and the ever-evolving panorama of London.","2026-04-08 12:57:42",0
7,"Sky Garden","Attraction","1 Sky Garden Walk","London","EC3M 8AF",51.5112,-0.0835,"https://skygarden.london","+44 20 7337 2344","10:00-18:00",1,4.6,60,"Views;Instagrammable;Bar","https://upload.wikimedia.org/wikipedia/commons/c/ca/The_Sky_Garden.jpg","London's highest public garden with 360 views.","The Sky Garden offers a truly unique experience in the heart of London. As the city’s highest public garden, it provides breathtaking 360-degree views encompassing iconic landmarks and the sprawling cityscape. Visitors often find themselves captivated by the panoramic vistas, which are undeniably Instagrammable, making it a popular spot for capturing memorable photographs. Beyond the stunning scenery, the Sky Garden boasts a sophisticated bar where guests can relax and soak in the atmosphere. Many visitors come back specifically for the vibrant ambiance and the chance to enjoy a drink while taking in the incredible views, creating a lasting impression of London’s beauty and charm.","2026-04-13 10:36:54",0
8,"Borough Market","Food","8 Southwark St","London","SE1 1TL",51.5055,-0.0903,"https://boroughmarket.org.uk","+44 20 7407 1002","10:00-17:00",2,4.7,60,"Foodie;Lunch;Bustling","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/London_2018_March_IMG_0663.jpg/500px-London_2018_March_IMG_0663.jpg","Historic market hall with gourmet food stalls.","Borough Market is a truly special experience for any visitor to London, a historic market hall brimming with gourmet food stalls offering an incredible array of culinary delights. It’s a haven for foodies, providing a fantastic lunchtime destination and a vibrant atmosphere that’s consistently bustling with activity. Visitors often find themselves overwhelmed by the sheer variety of options, from artisan cheeses and freshly baked breads to international street food and premium meats. The market’s energy is infectious, and many guests come back for the atmosphere and the chance to discover new and exciting tastes. It’s a place where you can easily spend an entire afternoon wandering through the stalls, sampling treats, and soaking up the lively buzz of this iconic London institution.","2026-04-22 21:46:39",0
9,"Roman Baths","History","Abbey Church Yard","Bath","BA1 1LZ",51.3809,-2.3597,"https://www.romanbaths.co.uk","+44 1225 477785","09:00-18:00",3,5.0,90,"History;Romans;Unique","https://images.unsplash.com/photo-1691419712300-3f29595dda17?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Well-preserved Roman public bathing site.","The Roman Baths in Bath offer a truly unique glimpse into ancient Britain. This remarkably well-preserved public bathing site is a testament to the Romans’ sophisticated engineering and their appreciation for leisure. Dating back nearly 2000 years, the complex reveals the heart of Roman life in Bath, where people gathered to socialize, exercise, and bathe in the naturally heated thermal waters. It’s a place where history truly comes alive, providing a tangible connection to a fascinating past. Visitors often find themselves captivated by the scale and detail of the site, imagining the bustling activity that once filled these spaces. Many guests come back for the atmospheric experience, appreciating the blend of ancient architecture and the serene beauty of the surrounding Georgian city. The Baths represent a singularly important and memorable destination for anyone interested in Roman history and the enduring legacy of Bath.","2026-04-19 19:02:34",0
10,"Stonehenge","History","Salisbury","Wiltshire","SP4 7DE",51.1789,-1.8262,"https://www.english-heritage.org.uk","+44 370 333 1181","09:30-17:00",3,4.2,90,"History;Ancient;Outdoors","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Stonehenge2007_07_30.jpg/800px-Stonehenge2007_07_30.jpg","Prehistoric ring of standing stones.","","",0
11,"Edinburgh Castle","Castle","Castlehill","Edinburgh","EH1 2NG",55.9486,-3.1999,"https://www.edinburghcastle.scot","+44 131 225 9846","09:30-18:00",3,4.6,120,"History;Views;Scotland","https://images.unsplash.com/photo-1557096002-7f215e6b5dcf?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Historic fortress dominating the Edinburgh skyline.","Edinburgh Castle is an iconic and imposing historic fortress that dominates the Edinburgh skyline, a powerful symbol of Scotland’s rich and complex past. Perched atop Castle Rock, an extinct volcano, it has served as a royal residence, military garrison, and prison throughout the centuries, witnessing pivotal moments in Scottish history. Visitors are consistently impressed by the sheer scale of the castle and the layers of stories embedded within its ancient walls, offering a tangible connection to the nation’s heritage. Exploring the castle reveals breathtaking panoramic views of Edinburgh and the surrounding landscape, a reward for navigating its winding staircases and historic chambers. Many guests return specifically to soak in the atmosphere and appreciate the castle’s enduring presence, recognizing it as a truly unforgettable experience within Scotland.","2026-04-12 16:08:36",0
